Title,Description,URL,Type,Lat,Long
Jordan Landing Shopping Center,Jordan Landing Shopping Center is part of a vast mixed-use development including residential units and offices. Ground was broken in 1999.,http://www.jordanlanding.net/,Open,40.6211,-111.9788
Westfield Old Orchard,"Old Orchard opened in 1956, and underwent a major expansion in 2007. Anchors include Bloomingdale's, Macy's, Lord & Taylor, L.L. Bean, and Nordstrom.",http://www.westfield.com/oldorchard,Open,42.0593,-87.7496
Florida Mall,"The Florida Mall opened in 1986, and now hosts more than 250 stores, and is one of the largest single-level malls in the nation.",http://www.simon.com/mall/the-florida-mall,Enclosed,28.4458,-81.3964
Town Center at Boca Raton,"Opened in 1980, the Town Center at Boca Raton's anchor stores are Bloomingdale's, Macy's, Neiman Marcus, Nordstrom, and Saks Fifth Avenue.",http://www.simon.com/mall/town-center-at-boca-raton,Enclosed,26.3654,-80.1341
Mall of Georgia,"Georgia's largest shopping mall is on three levels, and has more than 200 retail stores. A statue atop the mall honors Button Gwinnett, a signer of the Declaration of Independence.",http://www.simon.com/mall/mall-of-georgia,Enclosed,34.0649,-83.9847
Natick Mall,"Formerly named the Natick Collection, the Center hosts more than 275 stores and is the largest mall in New England.",http://www.natickmall.com/,Enclosed,42.301,-71.3842
Southlands Town Center,"Southlands is an outdoor center in Aurora, Colorado. Many stores face a four-block ""Main street"" and community plaza.",http://www.shopsouthlands.com/,Open,39.604034,-104.70891
Gulf Coast Town Center,"Gulf Coast Town Center touts a ""village-like setting"" and hosts a variety of anchor stores, specialty shops, and restaurants.",http://www.gulfcoasttowncenter.com/shop/gulf.nsf/index,Open,26.486724,-81.788511
Northland Shopping Center,"One of the oldest shopping centers on the list, Northland opened in 1954. Macy's and Target currently serve as anchors.",http://www.shopatnorthland.com/,Enclosed,42.4513,-83.205
Crossgates Mall,"Crossgates Mall opened in 1984, and doubled its size ten years later. Anchors include Best Buy, Dick's Sporting Goods, JCPenney, and Macy's.",http://www.shopcrossgates.com/,Enclosed,42.6897,-73.8506
Memorial City Mall,"Memorial City Mall opened in 1966 and underwent a major renovation in the early 2000s. Sears, Macy's, Target, and Dillard's are among its anchors.",http://www.memorialcitymall.com/,Enclosed,29.7815,-95.5401
Fashion Valley Mall,San Diego's largest mall is owned by the Simon Property Group. It opened in 1969 on the site of a baseball stadium.,http://www.simon.com/mall/fashion-valley,Open,32.768,-117.167
Freehold Raceway Mall,"The Freehold Raceway Mall opened in 1990. Its anchor stores are JCPenney, Lord & Taylor, Macy's, Nordstrom, and Sears.",http://www.freeholdracewaymall.com/,Enclosed,40.2535,-74.2999
Westfield SouthPark,"Originally considered as a site for the Cleveland Browns by Art Modell, the mall opened in 1996 and is anchored by Dillard's Macy's, JCPenney, Sears, and Dick's Sporting Goods.",http://www.shoppingsouthparkmall.com/shop/southparkmall.nsf/index,Enclosed,41.3086,-81.8207
Westfield Wheaton,This two-level enclosed mall is owned by the Westfield Group. It opened in 1960 as an open-air mall.,http://www.westfield.com/wheaton,Enclosed,39.0362,-77.055
North East Mall,"Situated between Fort Worth and Dallas, North East Mall is anchored by several stores, including Dick's Sporting Goods, Dillard's, Macy's, Nordstrom, and Sears.",http://www.simon.com/mall/north-east-mall,Enclosed,32.8302,-97.2002
Green Acres Mall,"Green Acres Mall was built in 1956 on the site of Curtiss Airfield. Its anchors include Macy's, JCPenney, Old Navy, Sears, and Kohl's.",http://www.greenacresmallonline.com/index.aspx,Enclosed,40.6627,-73.7198
Woodbridge Center,"Formerly the site of clay pits, Woodbridge Center was developed by the Rouse Company, and is now owned by General Growth Properties.",http://www.woodbridgecenter.com/,Enclosed,40.5566,-74.2989
The Mall at Greece Ridge,"This mall began as Greece Towne Mall, which opened in 1968. In 1969 Long Ridge Mall opened ajdacent to it. The two facilities merged in 1994.",http://www.themallatgreeceridge.com/,Enclosed,43.2064,-77.6883
